LAST SEEN   TYPE      REASON                 OBJECT                               MESSAGE
21m         Normal    WaitForFirstConsumer   persistentvolumeclaim/chromadb-pvc   waiting for first consumer to be created before binding
21m         Normal    ScalingReplicaSet      deployment/chromadb                  Scaled up replica set chromadb-fbc577888 from 0 to 1
21m         Normal    SuccessfulCreate       replicaset/chromadb-fbc577888        Created pod: chromadb-fbc577888-pkgkj
21m         Normal    Pulling                pod/backend-bff859d99-sdgx7          Pulling image "ghcr.io/anurag-bit/sih-tj-backend:latest"
21m         Normal    ScalingReplicaSet      deployment/backend                   Scaled up replica set backend-bff859d99 from 0 to 2
21m         Normal    Scheduled              pod/backend-bff859d99-g48td          Successfully assigned sih-solvers-compass/backend-bff859d99-g48td to ip-10-0-1-52.ec2.internal
21m         Normal    Pulling                pod/backend-bff859d99-g48td          Pulling image "ghcr.io/anurag-bit/sih-tj-backend:latest"
21m         Normal    SuccessfulCreate       replicaset/backend-bff859d99         Created pod: backend-bff859d99-sdgx7
21m         Normal    SuccessfulCreate       replicaset/backend-bff859d99         Created pod: backend-bff859d99-g48td
21m         Normal    Scheduled              pod/backend-bff859d99-sdgx7          Successfully assigned sih-solvers-compass/backend-bff859d99-sdgx7 to ip-10-0-2-234.ec2.internal
21m         Normal    ScalingReplicaSet      deployment/frontend                  Scaled up replica set frontend-66b578b86 from 0 to 2
21m         Normal    SuccessfulCreate       replicaset/frontend-66b578b86        Created pod: frontend-66b578b86-wfl66
21m         Normal    Scheduled              pod/frontend-66b578b86-wfl66         Successfully assigned sih-solvers-compass/frontend-66b578b86-wfl66 to ip-10-0-2-234.ec2.internal
21m         Normal    SuccessfulCreate       replicaset/frontend-66b578b86        Created pod: frontend-66b578b86-n2cf8
21m         Normal    Scheduled              pod/frontend-66b578b86-n2cf8         Successfully assigned sih-solvers-compass/frontend-66b578b86-n2cf8 to ip-10-0-1-52.ec2.internal
21m         Normal    EnsuringLoadBalancer   service/frontend                     Ensuring load balancer
21m         Normal    Pulling                pod/frontend-66b578b86-n2cf8         Pulling image "ghcr.io/anurag-bit/sih-tj-frontend:latest"
21m         Normal    Pulling                pod/frontend-66b578b86-wfl66         Pulling image "ghcr.io/anurag-bit/sih-tj-frontend:latest"
21m         Normal    EnsuredLoadBalancer    service/frontend                     Ensured load balancer
21m         Normal    Created                pod/frontend-66b578b86-wfl66         Created container: frontend
21m         Normal    Pulled                 pod/frontend-66b578b86-wfl66         Successfully pulled image "ghcr.io/anurag-bit/sih-tj-frontend:latest" in 8.228s (8.228s including waiting). Image size: 22676620 bytes.
21m         Normal    Started                pod/frontend-66b578b86-wfl66         Started container frontend
21m         Normal    Pulled                 pod/frontend-66b578b86-n2cf8         Successfully pulled image "ghcr.io/anurag-bit/sih-tj-frontend:latest" in 12.841s (12.841s including waiting). Image size: 22676620 bytes.
21m         Normal    Created                pod/frontend-66b578b86-n2cf8         Created container: frontend
21m         Normal    Started                pod/frontend-66b578b86-n2cf8         Started container frontend
19m         Normal    Started                pod/backend-bff859d99-sdgx7          Started container backend
19m         Normal    Created                pod/backend-bff859d99-g48td          Created container: backend
19m         Normal    Started                pod/backend-bff859d99-g48td          Started container backend
19m         Normal    Pulled                 pod/backend-bff859d99-g48td          Successfully pulled image "ghcr.io/anurag-bit/sih-tj-backend:latest" in 2m16.5s (2m16.5s including waiting). Image size: 4380972803 bytes.
19m         Normal    Pulled                 pod/backend-bff859d99-sdgx7          Successfully pulled image "ghcr.io/anurag-bit/sih-tj-backend:latest" in 2m17.013s (2m17.013s including waiting). Image size: 4380972803 bytes.
19m         Normal    Created                pod/backend-bff859d99-sdgx7          Created container: backend
18m         Warning   Unhealthy              pod/backend-bff859d99-sdgx7          Liveness probe failed: Get "http://10.0.2.68:8000/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
16m         Normal    ExternalProvisioning   persistentvolumeclaim/chromadb-pvc   Waiting for a volume to be created either by the external provisioner 'ebs.csi.aws.com' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
